"Window Length","Window Start","HFC"
"100","20","369.697998046875"
"100","50","345.257659912109"
"100","100","234.333618164062"
"250","20","206.64811706543"
"250","50","188.431274414062"
"250","100","122.916137695312"
"500","20","159.162353515625"
"500","50","149.865463256836"
"500","100","108.653022766113"
"0","0","20.5638484954834"
"25","20","125.837760925293"
"25","50","84.1418838500977"
"25","100","43.8720207214355"
"100","20","53.93701171875"
"100","50","40.2444076538086"
"100","100","23.4610576629639"
"250","20","22.9932651519775"
"250","50","17.1894550323486"
"250","100","10.0261163711548"
"500","20","18.8127555847168"
"500","50","14.0641689300537"
"500","100","8.51278495788574"
"0","0","30.4368019104004"
"25","20","122.281036376953"
"25","50","102.282600402832"
"25","100","83.3004989624023"
"100","20","88.1895751953125"
"100","50","76.6268615722656"
"100","100","52.1408157348633"
"250","20","39.0863189697266"
"250","50","33.9258346557617"
"250","100","22.9224853515625"
"500","20","29.8169651031494"
"500","50","25.8799247741699"
"500","100","18.4212455749512"
"0","0","16.155797958374"
"25","20","360.988128662109"
"25","50","301.620025634766"
"25","100","158.555374145508"
