Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Alesis DM5,ki,0.111020408,46.31977081,2.383865118,3.696720818,0.05831673,1544.848145,1.82613802,0.898347914
Alesis DM5,ki,0.425941043,66.21756744,5.543889046,0.173773015,0.206644699,1699.633423,2.977190495,0.670718849
Alesis DM5,ki,0.506485261,41.94048309,4.671935081,-3.538695048,0.243920088,1385.538574,10.05249977,0.77854389
Alesis DM5,ki,0.331609977,123.5826187,9.168045044,5.305828495,0.165570408,738.293457,0.74296993,0.92867732
Alesis DM5,ki,0.959274376,110.8841553,11.12520409,-0.010424796,0.446239322,774.0641479,17.92355728,0.261601806
Alesis DM5,ki,0.862040816,91.71970367,11.75805473,-0.776227384,0.398383141,245.52565,9.90425396,0.604920805
Alesis DM5,ki,0.244535147,39.57274246,2.82143259,-0.753115621,0.122361541,970.3390503,2.177808046,0.941007674
Alesis DM5,ki,0.26122449,39.83214188,7.400558472,-0.997114227,0.13125369,1222.774536,0.742150724,0.68833375
Alesis DM5,ki,0.510839002,49.2550087,2.958490372,-2.533823213,0.244637653,1189.96582,21.04706192,0.788480043
Alesis DM5,ki,0.414331066,106.0522461,6.083998203,3.346728208,0.210924327,790.6091309,29.34002495,0.918357134
Alesis DM5,ki,0.612426304,35.82669067,2.897249699,-5.384699331,0.289168954,783.263916,7.927263737,0.798666537
Alesis DM5,ki,0.972335601,82.86884308,7.391726017,-1.956892897,0.441582024,544.4729614,7.022584438,0.553704619
Alesis DM5,ki,0.333061224,122.4891434,9.129213333,5.228957923,0.166318089,795.690979,0.519226551,0.924835205
Alesis DM5,ki,0.394013605,62.29794312,5.513639927,0.116640926,0.192691609,1065.325684,21.68197823,0.774127722
Alesis DM5,ki,0.710385488,66.58972168,6.335285187,-2.011344343,0.331255794,1263.42688,3.059436798,0.693536699
Alesis DM5,ki,0.769886621,106.6493683,5.106256485,0.692329715,0.359719545,691.2352905,11.65546036,0.81293118
Alesis DM5,ki,0.421587302,73.83554077,10.44636345,0.924246884,0.208026156,1176.362427,0.248593271,0.803427756
Alesis DM5,ki,0.283718821,53.18472672,2.019439459,0.517695885,0.141485751,301.3554077,15.74096584,0.95588243
